electkwh,heatingkwh,hotwaterkwh,PV_generation,Temperature,month,day,hour,nday,hour_cos,hour_sin,month_cos,month_sin,summer,winter
0.222543,4.888735,0.0,0.0,-8.39,2,12,1,1010,0.9629172873477994,0.2697967711570243,0.5000000000000001,0.8660254037844386,0,1
0.207628,2.464939,0.0,0.0,-8.26,2,12,2,1011,0.8544194045464886,0.5195839500354336,0.5000000000000001,0.8660254037844386,0,1
0.201761,6.100633,0.0,0.0,-8.431,2,12,3,1012,0.6825531432186541,0.730835964278124,0.5000000000000001,0.8660254037844386,0,1
0.211501,6.100633,0.0,0.0,-9.253,2,12,4,1013,0.4600650377311522,0.8878852184023752,0.5000000000000001,0.8660254037844386,0,1
0.240005,4.888735,0.0,0.0,-10.546,2,12,5,1014,0.20345601305263397,0.9790840876823228,0.5000000000000001,0.8660254037844386,0,1
0.344936,2.464939,0.437054,0.0,-11.385,2,12,6,1015,-0.06824241336467088,0.9976687691905392,0.5000000000000001,0.8660254037844386,0,1
0.394513,6.100633,1.948004,0.854,-11.438,2,12,7,1016,-0.33487961217098616,0.9422609221188205,0.5000000000000001,0.8660254037844386,0,1
0.406082,6.100633,0.0,1.995,-10.965,2,12,8,1017,-0.5766803221148671,0.8169698930104421,0.5000000000000001,0.8660254037844386,0,1
0.411084,6.100633,0.0,2.92,-10.316,2,12,9,1018,-0.7757112907044199,0.6310879443260526,0.5000000000000001,0.8660254037844386,0,1
0.398867,6.100633,0.997233,3.834,-9.596,2,12,10,1019,-0.9172113015054528,0.3984010898462418,0.5000000000000001,0.8660254037844386,0,1
0.412572,4.888735,0.0,4.318,-9.017,2,12,11,1020,-0.9906859460363308,0.13616664909624665,0.5000000000000001,0.8660254037844386,0,1
0.427302,4.888735,0.0,4.852,-8.579,2,12,12,1021,-0.9906859460363308,-0.1361666490962464,0.5000000000000001,0.8660254037844386,0,1
0.410097,4.888735,0.0,5.112,-8.315,2,12,13,1022,-0.9172113015054532,-0.3984010898462412,0.5000000000000001,0.8660254037844386,0,1
