electkwh,heatingkwh,hotwaterkwh,PV_generation,Temperature,month,day,hour,nday,hour_cos,hour_sin,month_cos,month_sin
0.241389,3.676837,0.0,0.0,-3.654,1,16,0,361,1.0,0.0,0.8660254037844387,0.49999999999999994
0.22142,3.676837,0.0,0.0,-4.064,1,16,1,362,0.9629172873477994,0.2697967711570243,0.8660254037844387,0.49999999999999994
0.206539,4.888735,0.392388,0.0,-4.358,1,16,2,363,0.8544194045464886,0.5195839500354336,0.8660254037844387,0.49999999999999994
0.200706,6.100633,0.0,0.0,-4.506,1,16,3,364,0.6825531432186541,0.730835964278124,0.8660254037844387,0.49999999999999994
0.21046,4.888735,0.0,0.0,-4.571,1,16,4,365,0.4600650377311522,0.8878852184023752,0.8660254037844387,0.49999999999999994
0.239135,4.888735,0.0,0.0,-4.469,1,16,5,366,0.20345601305263397,0.9790840876823228,0.8660254037844387,0.49999999999999994
0.344273,3.676837,0.0,0.0,-4.257,1,16,6,367,-0.06824241336467088,0.9976687691905392,0.8660254037844387,0.49999999999999994
0.393835,3.676837,0.0,0.101,-3.651,1,16,7,368,-0.33487961217098616,0.9422609221188205,0.8660254037844387,0.49999999999999994
0.405839,2.265406,0.0,0.977,-2.638,1,16,8,369,-0.5766803221148671,0.8169698930104421,0.8660254037844387,0.49999999999999994
0.411284,1.853585,0.0,2.817,-1.451,1,16,9,370,-0.7757112907044199,0.6310879443260526,0.8660254037844387,0.49999999999999994
0.399042,2.464939,0.0,4.609,-0.3,1,16,10,371,-0.9172113015054528,0.3984010898462418,0.8660254037844387,0.49999999999999994
0.412678,1.849313,0.0,7.289,0.27,1,16,11,372,-0.9906859460363308,0.13616664909624665,0.8660254037844387,0.49999999999999994
0.427354,3.264232,0.0,7.61,0.534,1,16,12,373,-0.9906859460363308,-0.1361666490962464,0.8660254037844387,0.49999999999999994
0.410142,1.851131,0.0,6.797,0.643,1,16,13,374,-0.9172113015054532,-0.3984010898462412,0.8660254037844387,0.49999999999999994
0.423449,1.25304,0.409677,5.374,0.556,1,16,14,375,-0.7757112907044198,-0.6310879443260528,0.8660254037844387,0.49999999999999994
0.423431,0.041142,0.0,2.783,-0.096,1,16,15,376,-0.5766803221148672,-0.816969893010442,0.8660254037844387,0.49999999999999994
0.532154,1.855851,0.486366,0.155,-1.847,1,16,16,377,-0.3348796121709864,-0.9422609221188204,0.8660254037844387,0.49999999999999994
0.705264,5.491255,0.0,0.0,-2.716,1,16,17,378,-0.06824241336467135,-0.9976687691905392,0.8660254037844387,0.49999999999999994
0.67091,1.25304,0.0,0.0,-2.775,1,16,18,379,0.20345601305263417,-0.9790840876823228,0.8660254037844387,0.49999999999999994
0.557523,2.464939,0.495996,0.0,-2.747,1,16,19,380,0.46006503773115237,-0.8878852184023751,0.8660254037844387,0.49999999999999994
0.469176,3.676837,0.0,0.0,-2.835,1,16,20,381,0.6825531432186536,-0.7308359642781246,0.8660254037844387,0.49999999999999994
0.40841,4.888735,0.0,0.0,-2.987,1,16,21,382,0.8544194045464881,-0.5195839500354343,0.8660254037844387,0.49999999999999994
0.354601,3.676837,0.0,0.0,-3.007,1,16,22,383,0.9629172873477992,-0.2697967711570244,0.8660254037844387,0.49999999999999994
0.276284,6.100633,0.0,0.0,-2.91,1,16,23,384,1.0,-2.4492935982947064e-16,0.8660254037844387,0.49999999999999994
0.241389,6.100633,0.0,0.0,-2.903,1,17,0,385,1.0,0.0,0.8660254037844387,0.49999999999999994
0.22142,4.888735,0.0,0.0,-2.973,1,17,1,386,0.9629172873477994,0.2697967711570243,0.8660254037844387,0.49999999999999994
0.206539,4.888735,0.0,0.0,-2.546,1,17,2,387,0.8544194045464886,0.5195839500354336,0.8660254037844387,0.49999999999999994
0.200706,6.100633,0.0,0.0,-1.957,1,17,3,388,0.6825531432186541,0.730835964278124,0.8660254037844387,0.49999999999999994
0.21046,6.100633,0.0,0.0,-1.446,1,17,4,389,0.4600650377311522,0.8878852184023752,0.8660254037844387,0.49999999999999994
0.239135,3.676837,0.0,0.0,-1.022,1,17,5,390,0.20345601305263397,0.9790840876823228,0.8660254037844387,0.49999999999999994
0.344273,2.464939,0.0,0.0,-0.734,1,17,6,391,-0.06824241336467088,0.9976687691905392,0.8660254037844387,0.49999999999999994
0.393835,3.676837,0.401466,0.328,-0.278,1,17,7,392,-0.33487961217098616,0.9422609221188205,0.8660254037844387,0.49999999999999994
0.405839,4.892163,0.416557,2.743,0.501,1,17,8,393,-0.5766803221148671,0.8169698930104421,0.8660254037844387,0.49999999999999994
0.411284,2.866785,0.0,5.164,1.595,1,17,9,394,-0.7757112907044199,0.6310879443260526,0.8660254037844387,0.49999999999999994
0.399042,2.25636,0.0,5.657,2.56,1,17,10,395,-0.9172113015054528,0.3984010898462418,0.8660254037844387,0.49999999999999994
0.412678,1.235318,0.0,5.121,3.444,1,17,11,396,-0.9906859460363308,0.13616664909624665,0.8660254037844387,0.49999999999999994
0.427354,2.45487,0.535367,4.289,4.1,1,17,12,397,-0.9906859460363308,-0.1361666490962464,0.8660254037844387,0.49999999999999994
0.410142,0.034475,0.889985,1.56,4.318,1,17,13,398,-0.9172113015054532,-0.3984010898462412,0.8660254037844387,0.49999999999999994
0.423449,1.246406,0.0,0.706,4.272,1,17,14,399,-0.7757112907044198,-0.6310879443260528,0.8660254037844387,0.49999999999999994
0.423431,0.027901,0.0,0.238,3.782,1,17,15,400,-0.5766803221148672,-0.816969893010442,0.8660254037844387,0.49999999999999994
0.532154,0.640625,0.0,0.0,3.128,1,17,16,401,-0.3348796121709864,-0.9422609221188204,0.8660254037844387,0.49999999999999994
0.705264,3.670154,0.0,0.0,2.589,1,17,17,402,-0.06824241336467135,-0.9976687691905392,0.8660254037844387,0.49999999999999994
0.684429,0.041142,0.484369,0.0,2.175,1,17,18,403,0.20345601305263417,-0.9790840876823228,0.8660254037844387,0.49999999999999994
0.601993,1.25304,0.0,0.0,1.874,1,17,19,404,0.46006503773115237,-0.8878852184023751,0.8660254037844387,0.49999999999999994
0.469176,2.464939,0.0,0.0,1.762,1,17,20,405,0.6825531432186536,-0.7308359642781246,0.8660254037844387,0.49999999999999994
0.40841,3.676837,0.449149,0.0,1.856,1,17,21,406,0.8544194045464881,-0.5195839500354343,0.8660254037844387,0.49999999999999994
0.727,2.464939,0.634514,0.0,1.469,1,17,22,407,0.9629172873477992,-0.2697967711570244,0.8660254037844387,0.49999999999999994
0.657654,3.676837,0.991242,0.0,1.266,1,17,23,408,1.0,-2.4492935982947064e-16,0.8660254037844387,0.49999999999999994
0.241389,3.676837,0.0,0.0,1.062,1,18,0,409,1.0,0.0,0.8660254037844387,0.49999999999999994
0.22142,6.100633,0.0,0.0,0.864,1,18,1,410,0.9629172873477994,0.2697967711570243,0.8660254037844387,0.49999999999999994
0.206539,2.464939,0.0,0.0,0.611,1,18,2,411,0.8544194045464886,0.5195839500354336,0.8660254037844387,0.49999999999999994
0.200706,7.312532,0.0,0.0,0.416,1,18,3,412,0.6825531432186541,0.730835964278124,0.8660254037844387,0.49999999999999994
0.21046,3.676837,0.0,0.0,0.226,1,18,4,413,0.4600650377311522,0.8878852184023752,0.8660254037844387,0.49999999999999994
0.239135,7.312532,0.392388,0.0,-0.261,1,18,5,414,0.20345601305263397,0.9790840876823228,0.8660254037844387,0.49999999999999994
0.344273,1.25304,0.0,0.0,-0.938,1,18,6,415,-0.06824241336467088,0.9976687691905392,0.8660254037844387,0.49999999999999994
0.393835,3.676837,3.156171,0.525,-1.191,1,18,7,416,-0.33487961217098616,0.9422609221188205,0.8660254037844387,0.49999999999999994
0.405839,4.888735,1.628007,3.979,-0.518,1,18,8,417,-0.5766803221148671,0.8169698930104421,0.8660254037844387,0.49999999999999994
0.411284,2.464939,1.410167,6.233,0.516,1,18,9,418,-0.7757112907044199,0.6310879443260526,0.8660254037844387,0.49999999999999994
0.399042,3.676837,0.0,7.731,1.553,1,18,10,419,-0.9172113015054528,0.3984010898462418,0.8660254037844387,0.49999999999999994
0.412678,3.676837,0.0,8.386,2.5,1,18,11,420,-0.9906859460363308,0.13616664909624665,0.8660254037844387,0.49999999999999994
0.427354,3.676837,0.289983,8.246,3.039,1,18,12,421,-0.9906859460363308,-0.1361666490962464,0.8660254037844387,0.49999999999999994
0.410142,6.100633,0.346991,7.367,3.285,1,18,13,422,-0.9172113015054532,-0.3984010898462412,0.8660254037844387,0.49999999999999994
0.456292,6.100633,0.841284,5.639,3.24,1,18,14,423,-0.7757112907044198,-0.6310879443260528,0.8660254037844387,0.49999999999999994
0.423431,7.312532,0.363306,2.787,2.496,1,18,15,424,-0.5766803221148672,-0.816969893010442,0.8660254037844387,0.49999999999999994
0.665709,4.888735,0.597612,0.163,0.735,1,18,16,425,-0.3348796121709864,-0.9422609221188204,0.8660254037844387,0.49999999999999994
0.797906,2.464939,0.454194,0.0,0.158,1,18,17,426,-0.06824241336467135,-0.9976687691905392,0.8660254037844387,0.49999999999999994
0.90216,4.888735,0.976081,0.0,0.184,1,18,18,427,0.20345601305263417,-0.9790840876823228,0.8660254037844387,0.49999999999999994
0.557523,1.25304,4.46884,0.0,0.155,1,18,19,428,0.46006503773115237,-0.8878852184023751,0.8660254037844387,0.49999999999999994
0.469176,4.888735,2.24347,0.0,-0.075,1,18,20,429,0.6825531432186536,-0.7308359642781246,0.8660254037844387,0.49999999999999994
0.40841,7.312532,0.0,0.0,-0.366,1,18,21,430,0.8544194045464881,-0.5195839500354343,0.8660254037844387,0.49999999999999994
0.354601,6.100633,0.0,0.0,-0.759,1,18,22,431,0.9629172873477992,-0.2697967711570244,0.8660254037844387,0.49999999999999994
0.276284,1.25304,0.0,0.0,-1.128,1,18,23,432,1.0,-2.4492935982947064e-16,0.8660254037844387,0.49999999999999994
0.241389,2.464939,0.549552,0.0,-1.488,1,19,0,433,1.0,0.0,0.8660254037844387,0.49999999999999994
0.22142,1.25304,0.0,0.0,-1.88,1,19,1,434,0.9629172873477994,0.2697967711570243,0.8660254037844387,0.49999999999999994
0.206539,2.464939,0.0,0.0,-1.887,1,19,2,435,0.8544194045464886,0.5195839500354336,0.8660254037844387,0.49999999999999994
0.200706,1.25304,0.0,0.0,-1.562,1,19,3,436,0.6825531432186541,0.730835964278124,0.8660254037844387,0.49999999999999994
0.21046,2.464939,0.0,0.0,-2.008,1,19,4,437,0.4600650377311522,0.8878852184023752,0.8660254037844387,0.49999999999999994
0.239135,2.464939,0.0,0.0,-2.123,1,19,5,438,0.20345601305263397,0.9790840876823228,0.8660254037844387,0.49999999999999994
0.344273,4.888735,0.0,0.0,-1.665,1,19,6,439,-0.06824241336467088,0.9976687691905392,0.8660254037844387,0.49999999999999994
0.393835,0.041142,0.909952,0.734,-1.176,1,19,7,440,-0.33487961217098616,0.9422609221188205,0.8660254037844387,0.49999999999999994
0.405839,2.464939,1.173018,3.902,0.15,1,19,8,441,-0.5766803221148671,0.8169698930104421,0.8660254037844387,0.49999999999999994
0.428007,3.676837,0.392388,5.096,1.414,1,19,9,442,-0.7757112907044199,0.6310879443260526,0.8660254037844387,0.49999999999999994
0.399042,3.676837,0.834963,6.005,2.796,1,19,10,443,-0.9172113015054528,0.3984010898462418,0.8660254037844387,0.49999999999999994
0.412678,1.25304,0.411769,5.886,3.352,1,19,11,444,-0.9906859460363308,0.13616664909624665,0.8660254037844387,0.49999999999999994
0.427354,2.464939,0.397347,6.963,3.549,1,19,12,445,-0.9906859460363308,-0.1361666490962464,0.8660254037844387,0.49999999999999994
0.410142,2.464939,0.2841,2.088,3.118,1,19,13,446,-0.9172113015054532,-0.3984010898462412,0.8660254037844387,0.49999999999999994
0.423449,3.676837,0.243765,0.835,2.39,1,19,14,447,-0.7757112907044198,-0.6310879443260528,0.8660254037844387,0.49999999999999994
0.423431,0.041142,0.0,0.936,1.713,1,19,15,448,-0.5766803221148672,-0.816969893010442,0.8660254037844387,0.49999999999999994
0.532154,3.676837,0.0,0.048,0.464,1,19,16,449,-0.3348796121709864,-0.9422609221188204,0.8660254037844387,0.49999999999999994
0.705264,4.888735,0.398609,0.0,0.251,1,19,17,450,-0.06824241336467135,-0.9976687691905392,0.8660254037844387,0.49999999999999994
0.67091,0.041142,0.0,0.0,0.175,1,19,18,451,0.20345601305263417,-0.9790840876823228,0.8660254037844387,0.49999999999999994
0.557523,0.041142,0.0,0.0,0.172,1,19,19,452,0.46006503773115237,-0.8878852184023751,0.8660254037844387,0.49999999999999994
0.484235,1.25304,0.521278,0.0,0.174,1,19,20,453,0.6825531432186536,-0.7308359642781246,0.8660254037844387,0.49999999999999994
0.40841,2.464939,0.0,0.0,0.184,1,19,21,454,0.8544194045464881,-0.5195839500354343,0.8660254037844387,0.49999999999999994
0.354601,2.464939,0.0,0.0,0.163,1,19,22,455,0.9629172873477992,-0.2697967711570244,0.8660254037844387,0.49999999999999994
0.276284,2.464939,0.0,0.0,0.057,1,19,23,456,1.0,-2.4492935982947064e-16,0.8660254037844387,0.49999999999999994
0.241389,3.676837,0.0,0.0,-0.117,1,20,0,457,1.0,0.0,0.8660254037844387,0.49999999999999994
0.22142,3.676837,0.0,0.0,-0.241,1,20,1,458,0.9629172873477994,0.2697967711570243,0.8660254037844387,0.49999999999999994
0.206539,2.464939,0.392387,0.0,-0.259,1,20,2,459,0.8544194045464886,0.5195839500354336,0.8660254037844387,0.49999999999999994
0.200706,2.464939,0.0,0.0,-0.188,1,20,3,460,0.6825531432186541,0.730835964278124,0.8660254037844387,0.49999999999999994
