electkwh,heatingkwh,hotwaterkwh,PV_generation,Temperature,month,day,hour,nday,hour_cos,hour_sin,month_cos,month_sin,summer,winter
0.399042,2.464939,0.0,4.298,-2.752,1,11,10,251,-0.9172113015054528,0.3984010898462418,0.8660254037844387,0.49999999999999994,0,1
0.412678,2.461722,0.0,3.777,-1.185,1,11,11,252,-0.9906859460363308,0.13616664909624665,0.8660254037844387,0.49999999999999994,0,1
0.427354,2.45524,0.0,2.466,-0.277,1,11,12,253,-0.9906859460363308,-0.1361666490962464,0.8660254037844387,0.49999999999999994,0,1
0.48814,3.670165,0.392324,1.216,0.023,1,11,13,254,-0.9172113015054532,-0.3984010898462412,0.8660254037844387,0.49999999999999994,0,1
0.423449,2.464939,0.0,0.599,0.036,1,11,14,255,-0.7757112907044198,-0.6310879443260528,0.8660254037844387,0.49999999999999994,0,1
0.487203,1.25304,0.42553,0.305,-0.289,1,11,15,256,-0.5766803221148672,-0.816969893010442,0.8660254037844387,0.49999999999999994,0,1
0.610319,3.677004,0.486849,0.0,-0.923,1,11,16,257,-0.3348796121709864,-0.9422609221188204,0.8660254037844387,0.49999999999999994,0,1
0.75951,3.673408,0.986508,0.0,-1.258,1,11,17,258,-0.06824241336467135,-0.9976687691905392,0.8660254037844387,0.49999999999999994,0,1
0.67091,4.888735,0.0,0.0,-1.46,1,11,18,259,0.20345601305263417,-0.9790840876823228,0.8660254037844387,0.49999999999999994,0,1
0.557523,3.676837,0.561062,0.0,-1.703,1,11,19,260,0.46006503773115237,-0.8878852184023751,0.8660254037844387,0.49999999999999994,0,1
0.469176,2.464939,0.0,0.0,-1.995,1,11,20,261,0.6825531432186536,-0.7308359642781246,0.8660254037844387,0.49999999999999994,0,1
0.40841,0.041142,0.398542,0.0,-2.22,1,11,21,262,0.8544194045464881,-0.5195839500354343,0.8660254037844387,0.49999999999999994,0,1
0.354601,3.676837,0.0,0.0,-2.339,1,11,22,263,0.9629172873477992,-0.2697967711570244,0.8660254037844387,0.49999999999999994,0,1
0.276284,2.464939,0.0,0.0,-2.336,1,11,23,264,1.0,-2.4492935982947064e-16,0.8660254037844387,0.49999999999999994,0,1
0.241389,3.676837,0.0,0.0,-2.328,1,12,0,265,1.0,0.0,0.8660254037844387,0.49999999999999994,0,1
0.22142,3.676837,0.0,0.0,-2.376,1,12,1,266,0.9629172873477994,0.2697967711570243,0.8660254037844387,0.49999999999999994,0,1
0.206539,2.464939,0.0,0.0,-2.481,1,12,2,267,0.8544194045464886,0.5195839500354336,0.8660254037844387,0.49999999999999994,0,1
0.200706,2.464939,0.0,0.0,-2.673,1,12,3,268,0.6825531432186541,0.730835964278124,0.8660254037844387,0.49999999999999994,0,1
