time,NUM_EP,L1,L2,BATCH_SIZE,MEM_SIZE,MIN_EXP_SIZE,season,case,idx,T_FH_plus,T_FH_minus,V_HW_plus,V_HW_minus,profits,comfort,abort
2021-06-09T14:50:35.464,10001,300,600,120,24000,24000,summer,summer_no-L2_nns_abort_l2-fct,3401,0.0,0.0,0.0,0.0,64.09133463,0.0,0.0
2021-06-09T14:50:32.824,10001,300,600,120,24000,24000,summer,summer_no-L2_nns_abort_l2-fct,10001,0.0,0.0,0.0,0.0,56.56124175,0.0,0.0
2021-06-09T14:44:20.093,10001,400,300,120,24000,24000,summer,summer_no-L2_nns_abort_l2-fct,3101,0.0,0.0,0.0,0.0,63.22430446,0.0,0.0
2021-06-09T14:44:14.642,10001,400,300,120,24000,24000,summer,summer_no-L2_nns_abort_l2-fct,10001,0.0,0.0,0.0,0.0,57.85397859,0.0,0.0
2021-06-09T14:30:23.265,10001,300,600,120,24000,24000,winter,winter_no-L2_nns_abort_l2-fct,8701,1.563728293,1.643420585,0.0,0.0,-86.4880573,-3.207148878,0.0
2021-06-09T14:30:20.493,10001,300,600,120,24000,24000,winter,winter_no-L2_nns_abort_l2-fct,10001,13.64405809,0.0,0.0,0.0,-105.8718529,-13.64405809,0.0
2021-06-08T16:06:37.051,10001,300,600,120,24000,24000,summer,summer_no-L2_nns_abort_step-48,8701,0.0,0.0,0.0,0.0,65.59318119,0.0,0.0
2021-06-08T16:06:34.329,10001,300,600,120,24000,24000,summer,summer_no-L2_nns_abort_step-48,10001,0.0,0.0,0.0,0.0,58.0626602,0.0,0.0
2021-06-08T15:53:30.797,10001,300,600,120,24000,12000,winter,winter_no-L2_nns_abort_mem-24-12T,8001,0.064050638,1.807338819,0.0,0.0,-62.36702938,-1.871389457,0.0
2021-06-08T15:53:28.05,10001,300,600,120,24000,12000,winter,winter_no-L2_nns_abort_mem-24-12T,10001,12.45821268,0.41353456,0.0,0.0,-75.52459689,-12.87174724,0.0
2021-06-08T15:52:48.599,10001,400,300,120,24000,24000,winter,winter_no-L2_nns_abort_step-48,10001,2.916681773,0.0,0.0,0.0,-67.68275384,-2.916681773,0.0
2021-06-08T15:52:46.189,10001,400,300,120,24000,24000,winter,winter_no-L2_nns_abort_step-48,10001,2.916681773,0.0,0.0,0.0,-67.68275384,-2.916681773,0.0
2021-06-08T15:50:53.365,10001,300,600,64,24000,24000,winter,winter_no-L2_nns_abort_batch-64,9201,12.11895722,4.029336723,0.0,0.0,-73.56495425,-16.14829394,0.0
2021-06-08T15:50:50.595,10001,300,600,64,24000,24000,winter,winter_no-L2_nns_abort_batch-64,10001,42.04422402,24.94390699,0.0,0.0,-124.1126468,-66.98813101,0.0
2021-06-08T15:50:29.354,10001,300,600,64,24000,24000,summer,summer_no-L2_nns_abort_batch-64,9801,0.0,0.0,0.0,0.0,65.88807842,0.0,0.0
2021-06-08T15:50:26.61,10001,300,600,64,24000,24000,summer,summer_no-L2_nns_abort_batch-64,10001,0.0,0.0,0.0,0.0,65.57630547,0.0,0.0
2021-06-08T15:47:01.573,10001,400,300,64,24000,24000,winter,winter_no-L2_nns_abort_batch-64,4101,3.529754595,0.489270448,0.0,0.0,-75.78736991,-4.019025043,0.0
2021-06-08T15:46:58.503,10001,400,300,64,24000,24000,winter,winter_no-L2_nns_abort_batch-64,10001,0.492347973,18.22158498,0.0,0.0,-78.72320041,-18.71393295,0.0
2021-06-08T15:45:38.214,10001,300,600,64,24000,24000,summer,summer_no-L2_nns_abort_batch-64,7401,0.0,0.0,0.0,0.0,66.60523062,0.0,0.0
2021-06-08T15:45:35.406,10001,300,600,64,24000,24000,summer,summer_no-L2_nns_abort_batch-64,10001,0.0,0.0,0.0,0.0,57.26714439,0.0,0.0
2021-06-08T15:45:21.065,10001,300,600,120,50000,24000,summer,summer_no-L2_nns_abort_mem-50T,6501,0.0,0.0,0.0,0.0,65.02854897,0.0,0.0
2021-06-08T15:45:18.182,10001,300,600,120,50000,24000,summer,summer_no-L2_nns_abort_mem-50T,10001,0.0,0.0,0.0,0.0,57.26528762,0.0,0.0
2021-06-08T15:44:39.441,10001,300,600,120,24000,24000,winter,winter_no-L2_nns_abort_step-48,3801,59.62723172,7.06273639,5.013611422,0.0,-155.1689741,-71.70357953,0.0
