Temp_FH,Vol_HW,Soc_B,V_HW_plus,V_HW_minus,T_FH_plus,T_FH_minus,profits,COP_FH,COP_HW,PV_DE,B_DE,GR_DE,PV_B,PV_GR,B_GR,PV_HP,GR_HP,B_HP,HP_FH,HP_HW,index
21.659600067634234,79.70862254162735,5.497381687164307,0.0,0.0,0.0,0.0,0.41360623858687073,3.283142852783203,0.0,0.0,0.24138900637626648,0.0,0.0,0.0,4.136062324236576,0.0,0.0,0.13054867088794708,0.13054867088794708,0.0,1.0
21.652849303931,85.14835260273685,0.897216796875,0.0,0.0,0.0,0.0,0.051155350373319974,0.0,2.1784285954066687,0.0,0.22142000496387482,0.0,0.0,0.0,0.5115534961104586,0.0,0.0,0.14627251029014587,0.0,0.14627251029014587,2.0
21.646099197119476,90.81228534370071,1.251272010449611e-7,0.0,0.0,0.0,0.0,-0.10799680231966503,0.0,2.1527142660958427,0.0,1.2262096885163248e-7,0.20653888242015359,0.0,0.0,0.0,0.0,0.15345044434070587,0.0,0.0,0.15345044434070587,3.0
20.76083370851815,90.1410566236586,1.4210854715202004e-14,0.0,0.0,0.0,0.0,-0.08300282763452209,3.209999847412109,0.0,0.0,1.3926218695334752e-14,0.2007060050964216,0.0,0.0,0.0,0.0,0.07597007602453232,0.0,0.07597007602453232,0.0,4.0
20.163784885966734,89.46983012219376,1.6940658945086007e-21,0.0,0.0,0.0,0.0,-0.2652333782209304,3.214285659790039,0.0,0.0,1.6601346367996635e-21,0.21046000719070435,0.0,0.0,0.0,0.0,0.6736512184143066,0.0,0.6736512184143066,0.0,5.0
19.72168112155083,88.79860362072891,2.0194839173657902e-28,0.0,0.0,0.0,0.0,-0.369281339418146,3.2247142246791296,0.0,0.0,1.9790347061153216e-28,0.2391349971294403,0.0,0.0,0.0,0.0,0.9918027520179749,0.0,0.9918027520179749,0.0,6.0
19.449847021442377,88.12737711926407,2.407412430484045e-35,0.0,0.0,0.0,0.0,-0.39240570137523356,3.2389286041259764,0.0,0.0,2.3591932131234664e-35,0.34427300095558167,0.0,0.0,0.0,0.0,0.9637459516525269,0.0,0.9637459516525269,0.0,7.0
19.646427313658037,87.45615061779922,2.8698592549372254e-42,0.0,0.0,0.0,0.0,-0.554104055130642,3.2657857077462333,0.0,0.39383500814437866,0.0,0.0,0.0,0.0,0.0,0.06501498818397522,1.8470134437084198,2.812462124576702e-42,1.912028431892395,0.0,8.0
20.1792142305174,86.78492411633438,0.0,0.0,0.0,0.0,0.0,-0.6088903669075307,3.3161427089146205,0.0,0.4058389961719513,0.0,0.0,0.0,0.0,0.0,0.8947110176086426,2.029634475708008,0.0,2.9243454933166504,0.0,9.0
20.835251976045242,86.11369761486954,0.0,0.0,0.0,0.0,0.0,-0.6146498209098894,3.3570714133126396,0.0,1.2514309883117676,0.0,0.0,0.0,0.0,0.0,0.7236189842224121,2.048832654953003,0.0,2.772451639175415,0.0,10.0
20.504868877623462,85.4424711134047,0.0,0.0,0.0,0.0,0.0,0.14319833357927697,3.3955715179443358,0.0,0.47059300541877747,0.0,0.0,0.0,1.4319833144545555,0.0,0.09052375704050064,0.0,0.0,0.09052375704050064,0.0,11.0
21.44774360530699,84.77124461193985,0.0,0.0,0.0,0.0,0.0,-0.1497136890774442,3.43499995640346,0.0,0.5296559929847717,0.0,0.0,0.0,0.0,0.0,2.414393901824951,0.49904561042785645,0.0,2.9134395122528076,0.0,12.0
21.688103411621118,84.100018110475,0.0,0.0,0.0,0.0,0.0,0.14545241811055565,3.4683570316859655,0.0,0.42735400795936584,0.0,0.0,0.0,1.4545241594314575,0.0,1.1856716871261597,0.0,0.0,1.1856716871261597,0.0,13.0
21.585043222195225,83.42879160901016,0.0,0.0,0.0,0.0,0.0,0.09477211378175188,3.490499986921038,0.0,0.4101420044898987,0.0,0.0,0.0,0.9477211236953735,0.0,1.2166370153427124,0.0,0.0,1.2166370153427124,0.0,14.0
21.22735811225611,82.75756510754532,0.0,0.0,0.0,0.0,0.0,0.019502008251875758,3.4974285670689174,0.0,0.42344900965690613,0.0,0.0,0.0,0.19502007961273193,0.0,1.075380802154541,0.0,0.0,1.075380802154541,0.0,15.0
20.650895170646525,82.08633860608047,0.0,0.0,0.0,0.0,0.0,-0.05278572351875788,3.4846427917480467,0.0,0.42343100905418396,0.0,0.0,0.0,0.0,0.0,0.13801899552345276,0.17595240473747253,0.0,0.3139714002609253,0.0,16.0
20.004776151225684,81.41511210461563,0.0,0.0,0.0,0.0,0.0,-0.15313258048487502,3.4556429181780133,0.0,0.026600001379847527,0.0,0.5055540204048157,0.0,0.0,0.0,0.0,0.004887894261628389,0.0,0.004887894261628389,0.0,17.0
19.998026000708343,90.48217028230533,0.0,0.0,0.0,0.0,0.0,-0.2762376507615105,0.0,2.356000028337751,0.0,0.0,0.7052639722824097,0.0,0.0,0.0,0.0,0.21552816033363342,0.0,0.0,0.21552816033363342,18.0
19.99127589389682,93.74864899921616,0.0,0.0,0.0,0.0,0.0,-0.22760146345104593,0.0,2.339571489606585,0.0,0.0,0.6709100008010864,0.0,0.0,0.0,0.0,0.08776151388883591,0.0,0.0,0.08776151388883591,19.0
19.984525787085296,95.93897758135604,0.0,0.0,0.0,0.0,0.0,-0.24707873849386885,0.0,2.329571533203125,0.0,0.0,0.5575230121612549,0.0,0.0,0.0,0.0,0.26607275009155273,0.0,0.0,0.26607275009155273,20.0
