Temp_FH,Vol_HW,Soc_B,T_FH_plus,T_FH_minus,V_HW_plus,V_HW_minus,profits,COP_FH,COP_HW,PV_DE,B_DE,GR_DE,PV_B,PV_GR,PV_HP,GR_HP,B_HP,HP_FH,HP_HW,index,B,HP
21.5,100.0,5.0,0.0,0.0,0.0,0.0,0.0,4.76892854145595,3.6974999019077845,0.0,0.18981599807739258,0.0,0.0,0.0,0.0,0.0,0.010742194950580597,0.010742194950580597,0.0,1.0,-4.599995136260986,0.010742194950580597
21.500934600830078,99.32877349853516,4.795198917388916,0.0,0.0,0.0,0.0,0.0,4.764071410042899,3.6926428386143275,0.0,0.17299799621105194,0.0,0.0,0.0,0.0,0.0,0.000722033903002739,0.000722033903002739,0.0,2.0,-4.599992752075195,0.000722033903002739
21.494701385498047,98.65754699707031,4.617790222167969,0.0,0.0,0.0,0.0,0.0,4.769071456364223,3.6976429530552455,0.0,0.16041800379753113,0.0,0.0,0.0,0.0,0.0,0.00877083744853735,0.0,0.00877083744853735,3.0,-4.599986553192139,-0.00877083744853735
21.487951278686523,98.60828399658203,4.445010185241699,0.0,0.0,0.0,0.0,0.0,4.775357123783657,3.703928484235491,0.0,0.15603700280189514,0.0,0.0,0.0,0.0,0.0,0.004626801237463951,0.0,0.004626801237463951,4.0,-4.5999274253845215,-0.004626801237463951
21.481201171875,98.26571655273438,4.2809343338012695,0.0,0.0,0.0,0.0,0.0,4.790285737173898,3.718857165745326,0.03514999896287918,0.12712201476097107,0.0,0.0,0.0,0.0,0.0,0.0767422690987587,0.0,0.0767422690987587,5.0,-4.583303451538086,-0.0767422690987587
21.474451065063477,90.1407241821289,4.072781085968018,0.0,0.0,0.0,0.0,0.04042707145850466,4.843785776410784,3.7723572049822125,0.18522800505161285,0.0,0.0,0.0,0.4042707085609436,0.020401298999786377,0.0,0.0,0.0,0.020401298999786377,6.0,-4.486194610595703,-0.020401298999786377
21.467700958251953,90.94544982910156,4.072659015655518,0.0,0.0,0.0,0.0,0.0,4.897714287894113,3.8262857164655415,0.2752330005168915,0.0,0.0,0.7736762315034866,0.0,0.1423906534910202,0.0,0.0,0.0,0.1423906534910202,7.0,4.580376625061035,-0.1423906534910202
21.277605056762695,100.72291564941406,4.846213340759277,0.0,0.0,0.0,0.0,0.11609231630105249,4.951071412222726,3.879642840794155,0.30973300337791443,0.0,0.0,0.0,1.160923145711422,0.045543767511844635,0.0,0.0,0.045543767511844635,0.0,8.0,-3.9259543418884277,0.045543767511844635
21.304677963256836,100.05168914794922,4.846067905426025,0.0,0.0,0.0,0.0,0.16666849503917236,5.008857127598354,3.9374285561697824,0.31333601474761963,0.0,0.0,0.0,1.6666849255561829,0.11187893152236938,0.0,0.0,0.0,0.11187893152236938,9.0,-0.6869208216667175,-0.11187893152236938
21.297927856445312,91.21002960205078,4.845922470092773,0.0,0.0,0.0,0.0,0.0,5.053357206072126,3.9819286346435545,0.3127540051937103,0.0,0.0,2.210340738296509,0.0,0.12740516662597656,0.0,0.0,0.0,0.12740516662597656,10.0,3.8293378353118896,-0.12740516662597656
21.29117774963379,69.92230987548828,7.056118011474609,0.0,0.0,0.0,0.0,0.24405318887890406,5.069857134137835,3.9984285627092633,0.302280992269516,0.0,0.0,0.0,2.440531852422282,0.0026873324532061815,0.0,0.0,0.0,0.0026873324532061815,11.0,-4.318112850189209,-0.0026873324532061815
21.284427642822266,69.4571533203125,7.055906295776367,0.0,0.0,0.0,0.0,0.2568729697819496,5.071571431841169,4.0001428604125975,0.3123970031738281,0.0,0.0,0.0,2.5687296595424414,0.014473417773842812,0.0,0.0,0.014473417773842812,0.0,12.0,-4.526824951171875,0.014473417773842812
21.28868865966797,68.78592681884766,7.055694580078125,0.0,0.0,0.0,0.0,0.1935553270363111,5.053214291163853,3.9817857197352815,0.32420599460601807,0.0,0.0,0.0,1.93555324152112,0.02974076196551323,0.0,0.0,0.02974076196551323,0.0,13.0,-4.557646751403809,0.02974076196551323
21.304481506347656,68.11470031738281,7.055482864379883,0.0,0.0,0.0,0.0,0.0,5.027928570338657,3.956499998910086,0.31019899249076843,0.0,0.0,0.20360958576202393,0.0,1.620841383934021,0.0,0.0,0.0,1.620841383934021,14.0,4.599999904632568,-1.620841383934021
21.297731399536133,98.61894989013672,7.258880615234375,0.0,0.0,0.0,0.0,0.17352347409015106,5.012000029427664,3.940571457999093,0.3201960027217865,0.0,0.0,0.0,1.7352347150444984,0.04026927798986435,0.0,0.0,0.04026927798986435,0.0,15.0,-2.597905397415161,0.04026927798986435
21.321256637573242,97.94772338867188,7.258663177490234,0.0,0.0,0.0,0.0,0.13653591460043063,4.989999989100864,3.9185714176722932,0.31014901399612427,0.0,0.0,0.0,1.3653591256588697,0.011691750958561897,0.0,0.0,0.011691750958561897,0.0,16.0,-1.8674618005752563,0.011691750958561897
21.323257446289062,97.27649688720703,7.258445739746094,0.0,0.0,0.0,0.0,0.030809583601498353,4.958285685947963,3.8868571145193918,0.37898901104927063,0.0,0.0,0.0,0.3080958314239979,0.019715141505002975,0.0,0.0,0.0,0.019715141505002975,17.0,-2.855133056640625,-0.019715141505002975
21.31650733947754,98.07487487792969,7.258228302001953,0.0,0.0,0.0,0.0,0.0,4.9352142606462746,3.8637856892177034,0.3686000108718872,0.12593397498130798,0.0,0.0,0.0,0.0,0.0,0.0601884201169014,0.0,0.0601884201169014,18.0,-4.459375858306885,-0.0601884201169014
