Temp_FH,Vol_HW,Soc_B,V_HW_plus,V_HW_minus,T_FH_plus,T_FH_minus,profits,COP_FH,COP_HW,PV_DE,B_DE,GR_DE,PV_B,PV_GR,PV_HP,GR_HP,B_HP,HP_FH,HP_HW,index
22.108243543078707,60.65595683117813,1.1304433345794678,0.0,0.0,0.0,0.0,0.07945496629707618,4.76892854145595,0.0,0.0,0.18981599807739258,0.0,0.0,0.0,0.0,0.0,0.12343554198741913,0.12343554198741913,0.0,1.0
22.118962005257938,59.98472651501602,1.2237080682098167e-7,0.0,0.0,0.0,0.0,-0.0592326152123429,4.764071410042899,0.0,0.0,1.1991978601938593e-7,0.17299787629126592,0.0,0.0,0.0,0.02444416657090187,0.0,0.02444416657090187,0.0,2.0
22.112211333960296,67.3499535765998,1.4210854715202004e-14,0.0,0.0,0.0,0.0,-0.08212374924117886,0.0,3.6976429530552455,0.0,1.3926218695334752e-14,0.1604180037975172,0.0,0.0,0.0,0.11332781612873077,0.0,0.0,0.11332781612873077,3.0
22.105461227148773,77.55400346073375,1.6940658945086007e-21,0.0,0.0,0.0,0.0,-0.09274105500145957,0.0,3.703928484235491,0.0,1.6601346367996635e-21,0.15603700280189514,0.0,0.0,0.0,0.15309983491897583,0.0,0.0,0.15309983491897583,4.0
22.09871112033725,81.24265941280431,2.0194839173657902e-28,0.0,0.0,0.0,0.0,-0.11085201942332645,0.0,3.718857165745326,0.03514999896287918,1.9790347061153216e-28,0.12712201476097107,0.0,0.0,0.0,0.24238470196723938,0.0,0.0,0.24238470196723938,5.0
22.091961013525726,91.29423052498952,2.407412430484045e-35,0.0,0.0,0.0,0.0,0.027645698601688418,0.0,3.7723572049822125,0.18522800505161285,0.0,0.0,0.0,0.2764569818973541,0.14821502566337585,0.0,0.0,0.0,0.14821502566337585,6.0
22.085210906714202,96.31427800690572,2.4073402535237831e-35,0.0,0.0,0.0,0.0,0.08385083949343619,0.0,3.8262857164655415,0.2752330005168915,0.0,0.0,0.0,0.8385083824396133,0.0775585025548935,0.0,0.0,0.0,0.0775585025548935,7.0
22.07846079990268,106.15689108181996,2.4072680765635215e-35,0.0,0.0,0.0,0.0,0.10651589790755356,0.0,3.879642840794155,0.30973300337791443,0.0,0.0,0.0,1.0651589632034302,0.14130795001983643,0.0,0.0,0.0,0.14130795001983643,8.0
22.071710693091156,106.30663254878496,2.4071958996032598e-35,0.0,0.0,0.0,0.0,0.15476123921217377,0.0,3.9374285561697824,0.31333601474761963,0.0,0.0,0.0,1.5476123690605164,0.2309514880180359,0.0,0.0,0.0,0.2309514880180359,9.0
22.064960586279632,99.1588938079189,2.407123722642998e-35,0.0,0.0,0.0,0.0,0.2025178611653724,0.0,3.9819286346435545,0.3127540051937103,0.0,0.0,0.0,2.0251785814762115,0.3125673234462738,0.0,0.0,0.0,0.3125673234462738,10.0
22.05821047946811,109.94668260595134,2.4070515456827365e-35,0.0,0.0,0.0,0.0,0.2293783371057858,0.0,3.9984285627092633,0.302280992269516,0.0,0.0,0.0,2.293783336877823,0.1494358479976654,0.0,0.0,0.0,0.1494358479976654,11.0
22.051460372656585,119.37194709857725,2.4069793687224748e-35,0.0,0.0,0.0,0.0,0.24515922285853653,0.0,4.0001428604125975,0.3123970031738281,0.0,0.0,0.0,2.451592192053795,0.13161088526248932,0.0,0.0,0.0,0.13161088526248932,12.0
22.04471026584506,126.56156964682049,2.406907191762213e-35,0.0,0.0,0.0,0.0,0.18623529950134898,0.0,3.9817857197352815,0.32420599460601807,0.0,0.0,0.0,1.862352967262268,0.10294103622436523,0.0,0.0,0.0,0.10294103622436523,13.0
22.03796015903354,83.19091352399298,2.4068350148019514e-35,0.0,0.0,0.0,0.0,0.11772141632022581,0.0,3.956499998910086,0.31019899249076843,0.0,0.0,0.0,1.1772141456604004,0.6472368240356445,0.0,0.0,0.0,0.6472368240356445,14.0
22.031210052222015,91.86732452661214,2.4067628378416898e-35,0.0,0.0,0.0,0.0,0.16518125333162026,0.0,3.940571457999093,0.3201960027217865,0.0,0.0,0.0,1.6518125087022781,0.12369148433208466,0.0,0.0,0.0,0.12369148433208466,15.0
22.02445994541049,98.50778090769973,2.406690660881428e-35,0.0,0.0,0.0,0.0,0.12797567737066262,0.0,3.9185714176722932,0.31014901399612427,0.0,0.0,0.0,1.2797567546367645,0.09729412198066711,0.0,0.0,0.0,0.09729412198066711,16.0
22.017709838598968,105.0993050644915,2.4066184839211664e-35,0.0,0.0,0.0,0.0,0.023037944332330584,0.0,3.8868571145193918,0.37898901104927063,0.0,0.0,0.0,0.23037943989038467,0.09743153303861618,0.0,0.0,0.0,0.09743153303861618,17.0
22.010959731787445,111.68885877904297,2.4065463069609048e-35,0.0,0.0,0.0,0.0,-0.06717622025514514,0.0,3.8637856892177034,0.3686000108718872,2.3583444120542692e-35,0.12593397498130798,0.0,0.0,0.0,0.09798675030469894,0.0,0.0,0.09798675030469894,18.0
22.00420962497592,118.22094380820825,2.8698592549372254e-42,0.0,0.0,0.0,0.0,-0.1445955490408557,0.0,3.843071474347796,0.06269999593496323,2.812462124576702e-42,0.3842499852180481,0.0,0.0,0.0,0.09773515909910202,0.0,0.0,0.09773515909910202,19.0
21.997459518164398,118.82055840124909,0.0,0.0,0.0,0.0,0.0,-0.15752561420304012,0.0,3.8249286379132954,0.0,0.0,0.3757930099964142,0.0,0.0,0.0,0.14929234981536865,0.0,0.0,0.14929234981536865,20.0
