Temp_FH,Vol_HW,Soc_B,V_HW_plus,V_HW_minus,T_FH_plus,T_FH_minus,profits,COP_FH,COP_HW,PV_DE,B_DE,GR_DE,PV_B,PV_GR,PV_HP,GR_HP,B_HP,HP_FH,HP_HW,hour,index
20.812690997059367,84.45843180676407,1.1938555240631104,0.0,0.0,0.0,0.0,-0.022977886516963864,3.546500015258789,0.0,0.42344900965690613,0.0,0.0,0.0,0.0,0.3080509603023529,0.07659295201301575,0.0,0.38464391231536865,0.0,14.0,231.0
20.813665356015598,83.78720530529922,1.1938197612762451,0.0,0.0,0.0,0.0,-0.15059736075390795,3.5285714830671036,0.0,0.42343100905418396,0.0,0.0,0.0,0.0,0.21116897463798523,0.5019911825656891,0.0,0.7131601572036743,0.0,15.0,232.0
20.628497599060957,83.11597880383438,1.1937839984893799,0.0,0.0,0.0,0.0,0.0058546986404781395,3.5024285452706474,0.0,0.09404999762773514,0.7471539974212646,0.0,0.0,0.0,0.0,0.0,0.36417222023010254,0.36417222023010254,0.0,16.0,233.0
21.064355475990443,82.44475230236954,9.390581823254252e-8,0.0,0.0,0.0,0.0,-0.9906309960629932,3.4852141789027624,0.0,0.0,9.202493225806251e-8,1.2256368670509954,0.0,0.0,0.0,2.0764663219451904,0.0,2.0764663219451904,0.0,17.0,234.0
21.057605849951507,82.6020085111959,1.4210854715202004e-14,0.0,0.0,0.0,0.0,-0.20666686540262907,0.0,2.4027142660958427,0.0,1.3926218695334752e-14,0.6709100008010725,0.0,0.0,0.0,0.017979523167014122,0.0,0.0,0.017979523167014122,18.0,235.0
21.050855743139984,87.56525289787807,1.6940658945086007e-21,0.0,0.0,0.0,0.0,-0.204157518512309,0.0,2.388571548461914,0.0,0.0,0.5575230121612549,0.0,0.0,0.0,0.12300202250480652,0.0,0.0,0.12300202250480652,19.0,236.0
20.87794043033545,86.89402445813126,1.694015104488079e-21,0.0,0.0,0.0,0.0,-0.576566224359123,3.436928558349609,0.0,0.0,1.6600848625785835e-21,0.4691759943962097,0.0,0.0,0.0,1.4527113437652588,0.0,1.4527113437652588,0.0,20.0,237.0
20.85745078120589,86.22279795666641,2.0194839173657902e-28,0.0,0.0,0.0,0.0,-0.6523865541770668,3.4022142682756695,0.0,0.0,1.9790347061153216e-28,0.4084100127220154,0.0,0.0,0.0,1.766211748123169,0.0,1.766211748123169,0.0,21.0,238.0
20.178009830720836,85.55157145520157,2.407412430484045e-35,0.0,0.0,0.0,0.0,-0.14247642725612408,3.358785574776786,0.0,0.0,0.0,0.3546009957790375,0.0,0.0,0.0,0.1203204095363617,0.0,0.1203204095363617,0.0,22.0,239.0
20.550613629493192,84.88034495373672,2.4073402535237831e-35,0.0,0.0,0.0,0.0,-0.8627747729529833,3.319571576799665,0.0,0.0,0.0,0.27628400921821594,0.0,0.0,0.0,2.5996317863464355,0.0,2.5996317863464355,0.0,23.0,240.0
20.897545470298084,84.20911845227188,2.4072680765635215e-35,0.0,0.0,0.0,0.0,-0.9560589842422385,3.283142852783203,0.0,0.0,2.3590517462786002e-35,0.24138900637626648,0.0,0.0,0.0,2.945474147796631,0.0,2.945474147796631,0.0,0.0,241.0
21.328960879757577,83.53789195080704,2.8698592549372254e-42,0.0,0.0,0.0,0.0,-0.8992386325891255,3.24985716683524,0.0,0.0,2.812462124576702e-42,0.22142000496387482,0.0,0.0,0.0,2.7760419845581055,0.0,2.7760419845581055,0.0,1.0,242.0
21.53893459408873,82.8666654493422,0.0,0.0,0.0,0.0,0.0,-0.7640516852955681,3.224142837524414,0.0,0.0,0.0,0.20653900504112244,0.0,0.0,0.0,2.3402998447418213,0.0,2.3402998447418213,0.0,2.0,243.0
21.458704468506912,82.19543894787735,0.0,0.0,0.0,0.0,0.0,-0.5845823997093191,3.209999847412109,0.0,0.0,0.0,0.20070600509643555,0.0,0.0,0.0,1.7479019165039062,0.0,1.7479019165039062,0.0,3.0,244.0
