Temp_FH,Vol_HW,Soc_B,T_FH_plus,T_FH_minus,V_HW_plus,V_HW_minus,profits,comfort,abort,COP_FH,COP_HW,PV_DE,B_DE,GR_DE,PV_B,PV_GR,PV_HP,GR_HP,B_HP,HP_FH,HP_HW,index,B,HP
21.5,100.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,3.3961429050990515,2.32471433367048,0.0,0.24138900637626648,0.0,0.0,0.0,0.0,0.0,0.6816487908363342,0.6816487908363342,0.0,2.0,-4.5999884605407715,0.6816487908363342
21.288970947265625,99.32877349853516,4.057974815368652,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,3.366857201712472,2.295428630283901,0.0,0.22142000496387482,0.0,0.0,0.0,0.0,0.0,0.7702272534370422,0.7702272534370422,0.0,3.0,-4.5999884605407715,0.7702272534370422
21.11968231201172,98.65754699707031,3.0459682941436768,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,3.34585702078683,2.274428449358259,0.0,0.20653900504112244,0.0,0.0,0.0,0.0,0.0,0.31975555419921875,0.0,0.31975555419921875,4.0,-4.59999942779541,-0.31975555419921875
20.379621505737305,104.40850830078125,2.5088417530059814,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,3.335285677228655,2.2638571058000836,0.0,0.20070600509643555,0.0,0.0,0.0,0.0,0.0,1.326854944229126,1.326854944229126,0.0,5.0,-4.59999942779541,1.326854944229126
20.121593475341797,103.7372817993164,0.950031042098999,0.0,0.0,0.0,0.0,-0.2348167258775672,-0.0,0.0,3.3306429181780133,2.259214346749442,0.0,0.21046000719070435,0.0,0.0,0.0,0.0,0.7827223884892973,0.7205423963236299,1.5032647848129272,0.0,6.0,-4.599997520446777,1.5032647848129272
20.132558822631836,103.06605529785156,1.1700279856086127e-7,0.0,0.0,0.0,0.0,-0.5705131324078421,-0.0,0.0,3.337928444998605,2.2664998735700337,0.0,1.1465929101509812e-7,0.2391348824701493,0.0,0.0,0.0,1.6625754833221436,0.0,1.6625754833221436,0.0,7.0,-4.5999979972839355,1.6625754833221436
20.224931716918945,102.39482879638672,1.4210854715202004e-14,0.0,0.0,0.0,0.0,-0.6700530765475013,-0.0,0.0,3.3530714307512555,2.2816428593226843,0.0,1.3926218695334752e-14,0.34427300095556773,0.0,0.0,0.0,1.8892371654510498,0.0,1.8892371654510498,0.0,8.0,-4.599996566772461,1.8892371654510498
20.61686897277832,101.72360229492188,1.6940658945086007e-21,0.0,0.0,0.0,0.0,-0.6207153507357965,-0.0,0.0,3.3963570731026786,2.324928501674107,0.09594999998807907,1.6601346367996635e-21,0.297885000705719,0.0,0.0,0.0,1.7711660861968994,0.0,1.7711660861968994,0.0,9.0,-4.5999956130981445,1.7711660861968994
20.960920333862305,101.05237579345703,2.0194839173657902e-28,0.0,0.0,0.0,0.0,-0.11496209362992005,-0.0,0.0,3.4687142508370536,2.397285679408482,0.4058389961719513,0.0,0.0,0.0,0.0,0.5223109722137451,0.38320696353912354,1.9790347061153216e-28,0.9055179357528687,0.0,10.0,-4.599982738494873,0.9055179357528687
21.085506439208984,100.38114929199219,2.407412430484045e-35,0.0,0.0,0.0,0.0,0.20799867969749386,-0.0,0.0,3.5534999847412108,2.4820714133126396,0.4112839996814728,0.0,0.0,0.0,2.0799867659807205,0.1848791092634201,0.0,0.0,0.1848791092634201,0.0,11.0,-4.599973201751709,0.1848791092634201
20.899263381958008,99.70992279052734,2.4073402535237831e-35,0.0,0.0,0.0,0.0,0.3503203623044544,-0.0,0.0,3.6357143402099608,2.5642857687813896,0.399042010307312,0.0,0.0,0.0,3.503203570842743,0.4763043522834778,0.0,0.0,0.4763043522834778,0.0,12.0,-4.599992275238037,0.4763043522834778
20.782527923583984,99.0386962890625,2.4072680765635215e-35,0.0,0.0,0.0,0.0,0.5258671958128689,-0.0,0.0,3.6764286041259764,2.605000032697405,0.4126780033111572,0.0,0.0,0.0,5.258671879768372,1.2532004117965698,0.0,0.0,1.2532004117965698,0.0,13.0,-4.59999942779541,1.2532004117965698
21.189476013183594,98.36746978759766,2.4071958996032598e-35,0.0,0.0,0.0,0.0,0.4835090709255496,-0.0,0.0,3.6952857426234655,2.623857171194894,0.42735400795936584,0.0,0.0,0.0,4.835090637207031,1.967055320739746,0.0,0.0,1.967055320739746,0.0,14.0,-4.59999942779541,1.967055320739746
21.783416748046875,97.69624328613281,2.407123722642998e-35,0.0,0.0,0.0,0.0,0.460541112132983,-0.0,0.0,3.703071403503418,2.6316429683140345,0.4101420044898987,0.0,0.0,0.0,4.605411052703857,1.4415969848632812,0.0,0.0,1.4415969848632812,0.0,15.0,-4.599998950958252,1.4415969848632812
22.299747467041016,97.02501678466797,2.4070515456827365e-35,0.0,0.0,0.0,0.0,0.4415773606535398,-0.0,0.0,3.6968571254185267,2.6254285539899556,0.42344900965690613,0.0,0.0,0.0,4.415773540735245,0.2660773694515228,0.0,0.0,0.2660773694515228,0.0,16.0,-4.599995136260986,0.2660773694515228
22.252588272094727,88.49700164794922,2.4069793687224748e-35,0.0,0.0,0.0,0.0,0.1765003826692757,-0.0,0.0,3.6502856663295202,2.5788570949009486,0.42343100905418396,0.0,0.0,0.0,1.7650038003921509,0.45541512966156006,0.0,0.0,0.45541512966156006,0.0,17.0,-4.599975109100342,0.45541512966156006
