time,NUM_EP,L1,L2,BATCH_SIZE,MEM_SIZE,MIN_EXP_SIZE,season,run,case,idx,T_FH_plus,T_FH_minus,V_HW_plus,V_HW_minus,profits,comfort,abort,Reward
2021-06-26T19:20:12.186,10001,400,300,64,24000,24000,winter,test,winter_no-L2_nns_ou.5_abort_no-period-h,-2,6.047058231,0,0,55.30179632,-65.62471337,-61.34885455,0,-4.275858819
2021-06-26T19:20:02.101,10001,400,300,64,24000,24000,summer,test,summer_no-L2_nns_ou.5_abort_no-period-h,-2,28.87323413,0,0,0,-30.27091988,-28.87323413,0,-1.397685747
2021-06-26T19:19:47.288,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h,-2,22.55014688,0,0,0,-23.97446057,-22.55014688,0,-1.424313694
2021-06-26T19:19:33.043,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h,-2,33.15677696,0,0,0,-36.96658108,-33.15677696,0,-3.809804117
2021-06-26T19:19:17.416,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h,-1,0,0,0,0,-61.59924566,0,0,-61.59924566
2021-06-26T19:19:03.105,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h,-1,0,0,0,0,65.57410553,0,0,65.57410553
2021-06-26T19:18:43.099,10001,400,300,64,24000,24000,summer,test,summer_no-L2_nns_ou.5_abort_no-period-h,-1,0,0,0,0,129.936956,0,0,129.936956
2021-06-26T19:18:23.781,10001,400,300,64,24000,24000,winter,test,winter_no-L2_nns_ou.5_abort_no-period-h,-1,2.19E-08,0,0,0,-153.5406302,-2.19E-08,0,-153.5406302
2021-06-26T16:33:27.42,10001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,7701,0,0,0,0,65.95160293,0,0,65.95160293
2021-06-26T16:33:24.271,10001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,10001,0,0,0,22.2227688,33.30956568,-22.2227688,0,55.53233448
2021-06-26T16:33:13.079,10001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,8601,2.650117506,0,0,0,-76.55784876,-2.650117506,0,-73.90773126
2021-06-26T16:33:09.878,10001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,10001,17.87396221,0.342430805,0,0,-97.86702714,-18.21639302,0,-79.65063413
2021-06-26T16:33:03.374,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,8201,0,0,0,3.088565539,-76.86233343,-3.088565539,0,-73.7737679
2021-06-26T16:33:00.214,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,10001,0,0,0,0,-88.30333696,0,0,-88.30333696
2021-06-26T16:32:53.407,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,4501,0,0,0,0,63.87841216,0,0,63.87841216
2021-06-26T16:32:50.265,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,10001,0,0,0,0,55.24135125,0,0,55.24135125
2021-06-26T16:26:47.83,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,4501,,,,,,,,0
2021-06-26T16:26:44.311,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,10001,,,,,,,,0
2021-06-26T16:26:34.943,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,8201,,,,,,,,0
2021-06-26T16:26:31.417,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,10001,,,,,,,,0
2021-06-26T16:26:19.209,10001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,8601,,,,,,,,0
2021-06-26T16:26:15.694,10001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,10001,,,,,,,,0
2021-06-26T16:26:09.349,10001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,7701,,,,,,,,0
2021-06-26T16:26:05.791,10001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,10001,,,,,,,,0
2021-06-26T15:58:49.628,10001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,7701,,,,,,,,0
2021-06-26T15:58:46.607,10001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,10001,,,,,,,,0
2021-06-26T15:56:49.113,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,4501,,,,,,,,0
2021-06-26T15:56:46.091,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,10001,,,,,,,,0
2021-06-26T15:52:06.915,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,8401,,,,,,,,0
2021-06-26T15:52:03.895,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,10001,,,,,,,,0
