Temp_FH,Vol_HW,Soc_B,T_FH_plus,T_FH_minus,V_HW_plus,V_HW_minus,profits,comfort,abort,COP_FH,COP_HW,PV_DE,B_DE,GR_DE,PV_B,PV_GR,PV_HP,GR_HP,B_HP,HP_FH,HP_HW,index,B,HP
21.414613723754883,36.886932373046875,8.9525728225708,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,5.358928625924246,4.287500054495675,0.0,0.15532000362873077,0.0,0.0,0.0,0.0,0.0,0.09314972162246704,0.0,0.09314972162246704,173.0,-4.599964141845703,-0.09314972162246704
21.421363830566406,36.356361389160156,8.698763847351074,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,5.349714224679129,4.278285653250558,0.0,0.16150300204753876,0.0,0.0,0.0,0.0,0.0,0.005130882374942303,0.005130882374942303,0.0,174.0,-4.599997520446777,0.005130882374942303
21.432231903076172,35.68513107299805,8.52846908569336,0.0,0.0,0.0,0.0,0.004068084494293994,-0.0,0.0,5.37249995640346,4.301071384974888,0.18425999581813812,0.0,0.0,0.0,0.04068084433674812,0.02395915612578392,0.0,0.0,0.02395915612578392,0.0,175.0,-4.599997043609619,0.02395915612578392
21.458290100097656,35.01390075683594,8.528213500976562,0.0,0.0,0.0,0.0,0.012719512175314307,-0.0,0.0,5.398214285714285,4.326785714285714,0.2739329934120178,0.0,0.0,0.0,0.12719511985778809,0.3275219202041626,0.0,0.0,0.0,0.3275219202041626,176.0,-4.599974632263184,-0.3275219202041626
21.46504020690918,35.901405334472656,8.527957916259766,0.0,0.0,0.0,0.0,0.09535726748939255,-0.0,0.0,5.427428599766323,4.356000028337752,0.3082900047302246,0.0,0.0,0.0,0.9535726606845856,0.02823731303215027,0.0,0.0,0.02823731303215027,0.0,177.0,-4.599995136260986,0.02823731303215027
21.49477767944336,35.23017501831055,8.527702331542969,0.0,0.0,0.0,0.0,0.13114293711100422,-0.0,0.0,5.474071448189871,4.4026428767613,0.31154200434684753,0.0,0.0,0.0,1.311429351568222,0.348278671503067,0.0,0.0,0.0,0.348278671503067,178.0,-4.599963188171387,-0.348278671503067
21.501527786254883,37.952232360839844,8.527446746826172,0.0,0.0,0.0,0.0,0.12432093805552924,-0.0,0.0,5.536714226858956,4.465285655430385,0.4150570034980774,0.0,0.0,0.0,1.2432093620300293,0.747133731842041,0.0,0.0,0.0,0.747133731842041,179.0,-4.599881649017334,-0.747133731842041
21.508277893066406,48.687255859375,8.527191162109375,0.0,0.0,0.0,0.0,0.17241898957519214,-0.0,0.0,5.55271429334368,4.481285721915109,0.679502010345459,0.0,0.0,0.0,1.7241898700594902,0.019758112728595734,0.0,0.0,0.019758112728595734,0.0,180.0,-4.5999956130981445,0.019758112728595734
21.531484603881836,38.964359283447266,8.526935577392578,0.0,0.0,0.0,0.0,0.24289140662761632,-0.0,0.0,5.55228568485805,4.480857113429478,0.3103350102901459,0.0,0.0,0.0,2.428914030082524,0.0043509406968951225,0.0,0.0,0.0,0.0043509406968951225,181.0,-4.599976539611816,-0.0043509406968951225
21.53823471069336,38.667022705078125,8.526679992675781,0.0,0.0,0.0,0.0,0.2943546525292791,-0.0,0.0,5.57085712977818,4.499428558349609,0.3222000002861023,0.0,0.0,0.0,2.9435464814305305,0.01745348423719406,0.0,0.0,0.0,0.01745348423719406,182.0,-4.599913120269775,-0.01745348423719406
21.544984817504883,39.501853942871094,8.526424407958984,0.0,0.0,0.0,0.0,0.32761610545390996,-0.0,0.0,5.593428557259696,4.521999985831124,0.30810999870300293,0.0,0.0,0.0,3.276161005720496,0.014329144731163979,0.0,0.0,0.0,0.014329144731163979,183.0,-4.593719005584717,-0.014329144731163979
21.551734924316406,32.555824279785156,8.526168823242188,0.0,0.0,0.0,0.0,0.34839600676143173,-0.0,0.0,5.60478572845459,4.5333571570260185,0.3182229995727539,0.0,0.0,0.0,3.4839600156992674,0.02251686342060566,0.0,0.0,0.0,0.02251686342060566,184.0,-3.496901273727417,-0.02251686342060566
21.55848503112793,33.842227935791016,8.52591323852539,0.0,0.0,0.0,0.0,0.3097399167305218,-0.0,0.0,5.594642857142857,4.523214285714285,0.3080269992351532,0.0,0.0,0.0,3.0973991211503744,0.0288237277418375,0.0,0.0,0.0,0.0288237277418375,185.0,-0.826256275177002,-0.0288237277418375
21.565235137939453,35.67134475708008,8.525657653808594,0.0,0.0,0.0,0.0,0.0248025614738846,-0.0,0.0,5.566642842973981,4.49521427154541,0.37723100185394287,0.0,0.0,1.4743423461914062,0.24802561104297638,0.14145104587078094,0.0,0.0,0.0,0.14145104587078094,186.0,4.002902984619141,-0.14145104587078094
21.571985244750977,31.130413055419922,9.999744415283203,0.0,0.0,0.0,0.0,0.07403655721301669,-0.0,0.0,5.535071454729352,4.463642883300781,0.49322599172592163,0.0,0.0,0.000255584716796875,0.7403655610978603,0.049602750688791275,0.0,0.0,0.0,0.049602750688791275,187.0,3.8319787979125977,-0.049602750688791275
21.5787353515625,34.70536422729492,9.999700546264648,0.0,0.0,0.0,0.0,-0.047737001848200955,-0.0,0.0,5.481000028337751,4.4095714569091795,0.28975000977516174,0.0,0.15574797987937927,0.0,0.0,0.0,0.003375353291630745,0.0,0.003375353291630745,0.0,188.0,3.5985662937164307,0.003375353291630745
21.588260650634766,34.03413391113281,9.999401092529297,0.0,0.0,0.0,0.0,-0.17419944203692417,-0.0,0.0,5.418714332580566,4.347285761151995,0.0,0.0,0.37415799498558044,0.0,0.0,0.0,0.20650678873062134,0.0,0.0,0.20650678873062134,189.0,2.9165377616882324,-0.20650678873062134
21.59501075744629,29.109342575073242,9.999101638793945,0.0,0.0,0.0,0.0,-0.11708525213937948,-0.0,0.0,5.3959286008562355,4.324500029427664,0.0,0.0,0.3562360107898712,0.0,0.0,0.0,0.03404814749956131,0.0,0.0,0.03404814749956131,190.0,3.319423198699951,-0.03404814749956131
21.601760864257812,27.23945426940918,9.998802185058594,0.0,0.0,0.0,0.0,-0.11034111781780376,-0.0,0.0,5.38564281463623,4.314214243207659,0.0,0.0,0.36024099588394165,0.0,0.0,0.0,0.00756271556019783,0.0,0.0,0.00756271556019783,191.0,2.6115591526031494,-0.00756271556019783
